ISSN,Título,Estrato,quadrienio
0039-9140,TALANTA (OXFORD),A1,2021-2024
0040-0262,TAXON,A2,2021-2024
0040-1625,TECHNOLOGICAL FORECASTING & SOCIAL CHANGE,A1,2021-2024
0041-1655,TRANSPORTATION SCIENCE,A2,2021-2024
0041-624X,ULTRASONICS (GUILDFORD),A2,2021-2024
0042-9686,BULLETIN OF THE WORLD HEALTH ORGANIZATION (PRINT),A1,2021-2024
0043-1397,WATER RESOURCES RESEARCH,A1,2021-2024
0043-5325,WIENER KLINISCHE WOCHENSCHRIFT,A2,2021-2024
0043-7719,WOOD SCIENCE AND TECHNOLOGY (PRINT),A1,2021-2024
0044-8435,APIDOLOGIE (CELLE),A2,2021-2024
0044-8486,AQUACULTURE (AMSTERDAM),A1,2021-2024
0045-2068,BIOORGANIC CHEMISTRY (PRINT),A1,2021-2024
0045-6535,CHEMOSPHERE (OXFORD),A1,2021-2024
0045-7825,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,A1,2021-2024
0045-7906,COMPUTERS & ELECTRICAL ENGINEERING,A2,2021-2024
0045-7930,COMPUTERS & FLUIDS,A2,2021-2024
0045-7949,COMPUTERS & STRUCTURES,A1,2021-2024
0048-3575,PESTICIDE BIOCHEMISTRY AND PHYSIOLOGY,A1,2021-2024
0048-9697,SCIENCE OF THE TOTAL ENVIRONMENT,A1,2021-2024
0049-4747,TROPICAL ANIMAL HEALTH AND PRODUCTION,A2,2021-2024
0066-782X,ARQUIVOS BRASILEIROS DE CARDIOLOGIA (IMPRESSO),A2,2021-2024
0080-6234,REVISTA DA ESCOLA DE ENFERMAGEM DA USP,A3,2021-2024
0090-6778,IEEE TRANSACTIONS ON COMMUNICATIONS (PRINT),A1,2021-2024
0090-6964,ANNALS OF BIOMEDICAL ENGINEERING,A2,2021-2024
0091-2751,JOURNAL OF CLINICAL ULTRASOUND (PRINT),B1,2021-2024
0093-691X,THERIOGENOLOGY,A1,2021-2024
0094-5765,ACTA ASTRONAUTICA,A2,2021-2024
0094-8276,GEOPHYSICAL RESEARCH LETTERS,A1,2021-2024
0094-9655,JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION (PRINT),A4,2021-2024
0095-3628,MICROBIAL ECOLOGY,A1,2021-2024
0095-4616,APPLIED MATHEMATICS & OPTIMIZATION,A2,2021-2024
0095-8956,JOURNAL OF COMBINATORIAL THEORY. SERIES B (PRINT),A1,2021-2024
0096-3003,APPLIED MATHEMATICS AND COMPUTATION,A1,2021-2024
0097-3165,JOURNAL OF COMBINATORIAL THEORY. SERIES A (PRINT),A1,2021-2024
0097-8493,COMPUTERS & GRAPHICS,A2,2021-2024
0098-1354,COMPUTERS & CHEMICAL ENGINEERING,A1,2021-2024
0098-3004,COMPUTERS & GEOSCIENCES,A1,2021-2024
0098-3063,IEEE TRANSACTIONS ON CONSUMER ELECTRONICS,A2,2021-2024
0098-5589,IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,A1,2021-2024
0098-9886,INTERNATIONAL JOURNAL OF CIRCUIT THEORY AND APPLICATIONS (PRINT),A3,2021-2024
0099-1112,PHOTOGRAMMETRIC ENGINEERING AND REMOTE SENSING,B2,2021-2024
0099-2399,JOURNAL OF ENDODONTICS,A1,2021-2024
0100-8404,REVISTA BRASILEIRA DE BOTÂNICA (IMPRESSO),A4,2021-2024
0101-7438,PESQUISA OPERACIONAL (IMPRESSO),B3,2021-2024
0101-8205,COMPUTATIONAL & APPLIED MATHEMATICS,A2,2021-2024
0102-1788,REVISTA DA ESCOLA SUPERIOR DE GUERRA,A3,2021-2024
0102-2563,REVISTA DO SERVIÇO DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO NACIONAL (CESSOU EM 1945. CONT. 0102-2571 REVISTA DO SERVIÇO DO PATRIMÔNIO HISTÓRICO E ARTÍSTIC,C,2021-2024
0102-3543,C&T. REVISTA MILITAR DE CIÊNCIA E TECNOLOGIA,B3,2021-2024
0102-4248,CADERNOS DE ESTUDOS SOCIAIS,B2,2021-2024
0102-4450,DELTA. DOCUMENTAÇÃO DE ESTUDOS EM LINGUÍSTICA TEÓRICA E APLICADA,A1,2021-2024
0102-4698,EDUCAÇÃO EM REVISTA (UFMG - IMPRESSO),A1,2021-2024
0102-5503,TECNOLOGIA EDUCACIONAL,B1,2021-2024
0102-7158,REVISTA DA ABRALIN,A2,2021-2024
0102-7352,VETOR (FURG),B3,2021-2024
0102-7972,PSICOLOGIA: REFLEXÃO E CRÍTICA (UFRGS. IMPRESSO),A1,2021-2024
0103-0752,BRAZILIAN JOURNAL OF PROBABILITY AND STATISTICS,B1,2021-2024
0103-2070,TEMPO SOCIAL (USP. IMPRESSO),A1,2021-2024
0103-2100,ACTA PAULISTA DE ENFERMAGEM,A2,2021-2024
0103-3786,TRANSINFORMAÇÃO,A1,2021-2024
0103-4014,ESTUDOS AVANÇADOS (USP),A1,2021-2024
0103-4308,REVISTA DE INFORMÁTICA TEÓRICA E APLICADA,B4,2021-2024
0103-5053,JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY (IMPRESSO),A3,2021-2024
0103-5355,ARQUIVOS BRASILEIROS DE NEUROCIRURGIA,B4,2021-2024
0103-8117,BAHIA ANALISE & DADOS,B3,2021-2024
0103-9059,MATEMATICA CONTEMPORANEA,B2,2021-2024
0103-9733,BRAZILIAN JOURNAL OF PHYSICS (IMPRESSO),A3,2021-2024
0103-9989,REVISTA USP,A1,2021-2024
0104-0014,BRAZILIAN JOURNAL OF ANESTHESIOLOGY,A3,2021-2024
0104-0588,REVISTA DE ESTUDOS DA LINGUAGEM,A1,2021-2024
0104-3552,REVISTA ENFERMAGEM UERJ,A4,2021-2024
0104-6276,OPINIÃO PÚBLICA (UNICAMP. IMPRESSO),A1,2021-2024
0104-639X,TRADTERM,A3,2021-2024
0104-6500,JOURNAL OF THE BRAZILIAN COMPUTER SOCIETY (IMPRESSO),A3,2021-2024
0104-6675,O QUE NOS FAZ PENSAR (PUCRJ),A1,2021-2024
0104-7078,CADERNOS ENAP,B2,2021-2024
0105-4538,ALLERGY (COPENHAGEN),A1,2021-2024
0129-0541,INTERNATIONAL JOURNAL OF FOUNDATIONS OF COMPUTER SCIENCE,B2,2021-2024
0129-0657,INTERNATIONAL JOURNAL OF NEURAL SYSTEMS,A1,2021-2024
0138-0680,BULLETIN OF THE SECTION OF LOGIC,A3,2021-2024
0138-9130,SCIENTOMETRICS,A1,2021-2024
0140-0118,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,A3,2021-2024
0140-3664,COMPUTER COMMUNICATIONS,A1,2021-2024
0141-0296,ENGINEERING STRUCTURES,A1,2021-2024
0141-8130,INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES,A1,2021-2024
0141-9331,MICROPROCESSORS AND MICROSYSTEMS,A2,2021-2024
0141-9382,DISPLAYS (GUILDFORD),A2,2021-2024
0142-0615,INTERNATIONAL JOURNAL OF ELECTRICAL POWER & ENERGY SYSTEMS,A2,2021-2024
0142-5455,EMPLOYEE RELATIONS,A1,2021-2024
0143-1161,INTERNATIONAL JOURNAL OF REMOTE SENSING (PRINT),A2,2021-2024
0143-2087,OPTIMAL CONTROL APPLICATIONS & METHODS,A2,2021-2024
0143-3334,CARCINOGENESIS (NEW YORK. PRINT),A3,2021-2024
0144-8609,AQUACULTURAL ENGINEERING,A1,2021-2024
0144-929X,BEHAVIOUR & INFORMATION TECHNOLOGY,A1,2021-2024
0146-4124,TOPOLOGY PROCEEDINGS,B4,2021-2024
0146-4833,COMPUTER COMMUNICATION REVIEW,A2,2021-2024
0147-8389,PACING AND CLINICAL ELECTROPHYSIOLOGY (PRINT),B1,2021-2024
0148-0731,JOURNAL OF BIOMECHANICAL ENGINEERING,B1,2021-2024
0148-5598,JOURNAL OF MEDICAL SYSTEMS,A1,2021-2024
0149-5739,JOURNAL OF THERMAL STRESSES,A4,2021-2024
0160-5682,JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY,A1,2021-2024
0160-791X,TECHNOLOGY IN SOCIETY,A1,2021-2024
0162-8828,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,A1,2021-2024
0163-5808,SIGMOD RECORD,B1,2021-2024
0163-5999,PERFORMANCE EVALUATION REVIEW,B4,2021-2024
0163-6804,IEEE COMMUNICATIONS MAGAZINE (PRINT),A1,2021-2024
0164-0925,ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,B1,2021-2024
0164-1212,THE JOURNAL OF SYSTEMS AND SOFTWARE,A2,2021-2024
0165-0114,FUZZY SETS AND SYSTEMS,A1,2021-2024
0165-0327,JOURNAL OF AFFECTIVE DISORDERS (PRINT),A1,2021-2024
0165-0521,STUDIES ON NEOTROPICAL FAUNA AND ENVIRONMENT,A4,2021-2024
0165-1684,SIGNAL PROCESSING (PRINT),A2,2021-2024
0165-1781,PSYCHIATRY RESEARCH (PRINT),A1,2021-2024
0165-2125,WAVE MOTION,A2,2021-2024
0165-5515,JOURNAL OF INFORMATION SCIENCE,A1,2021-2024
0165-7380,VETERINARY RESEARCH COMMUNICATIONS,A2,2021-2024
0166-218X,DISCRETE APPLIED MATHEMATICS,A2,2021-2024
0166-3542,ANTIVIRAL RESEARCH,A1,2021-2024
0166-3615,COMPUTERS IN INDUSTRY,A1,2021-2024
0166-4328,BEHAVIOURAL BRAIN RESEARCH,A3,2021-2024
0166-445X,AQUATIC TOXICOLOGY,A1,2021-2024
0166-5316,PERFORMANCE EVALUATION,A4,2021-2024
0166-6851,MOLECULAR AND BIOCHEMICAL PARASITOLOGY (PRINT),B1,2021-2024
0166-8641,TOPOLOGY AND ITS APPLICATIONS,A4,2021-2024
0167-2789,"PHYSICA. D, NONLINEAR PHENOMENA (PRINT)",A1,2021-2024
0167-4048,COMPUTERS & SECURITY,A1,2021-2024
0167-577X,MATERIALS LETTERS (GENERAL ED.),A1,2021-2024
0167-6377,OPERATIONS RESEARCH LETTERS,B1,2021-2024
0167-6393,SPEECH COMMUNICATION (PRINT),A2,2021-2024
0167-6423,SCIENCE OF COMPUTER PROGRAMMING (PRINT),A3,2021-2024
0167-6911,SYSTEMS & CONTROL LETTERS (PRINT),A2,2021-2024
0167-7012,JOURNAL OF MICROBIOLOGICAL METHODS,A4,2021-2024
0167-7152,STATISTICS & PROBABILITY LETTERS,B1,2021-2024
0167-7322,JOURNAL OF MOLECULAR LIQUIDS (PRINT),A1,2021-2024
0167-739X,FUTURE GENERATION COMPUTER SYSTEMS,A1,2021-2024
0167-8191,PARALLEL COMPUTING,A4,2021-2024
0167-8655,PATTERN RECOGNITION LETTERS,A1,2021-2024
0167-9236,DECISION SUPPORT SYSTEMS,A1,2021-2024
0167-9260,INTEGRATION (AMSTERDAM. PRINT),A4,2021-2024
0168-0072,ANNALS OF PURE AND APPLIED LOGIC (PRINT),A4,2021-2024
0168-1699,COMPUTERS AND ELECTRONICS IN AGRICULTURE,A1,2021-2024
0168-7433,JOURNAL OF AUTOMATED REASONING,A4,2021-2024
0168-9002,"NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH. SECTION A, ACCELERATORS, SPECTROMETERS, DETECTORS AND ASSOCIATED EQUIPMENT (PRINT)",A4,2021-2024
0168-9274,APPLIED NUMERICAL MATHEMATICS,A1,2021-2024
0169-023X,DATA & KNOWLEDGE ENGINEERING,A3,2021-2024
0169-1864,ADVANCED ROBOTICS (PRINT),A4,2021-2024
0169-2070,INTERNATIONAL JOURNAL OF FORECASTING,A1,2021-2024
0169-2607,COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE (PRINT),A1,2021-2024
0169-3913,TRANSPORT IN POROUS MEDIA,A3,2021-2024
0169-5983,FLUID DYNAMICS RESEARCH,A4,2021-2024
0169-7439,CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS (PRINT),A1,2021-2024
0169-8141,INTERNATIONAL JOURNAL OF INDUSTRIAL ERGONOMICS,A2,2021-2024
0170-4214,MATHEMATICAL METHODS IN THE APPLIED SCIENCES,A1,2021-2024
0171-6468,OR SPECTRUM,A2,2021-2024
0171-8630,MARINE ECOLOGY. PROGRESS SERIES (HALSTENBEK),A2,2021-2024
0176-4268,JOURNAL OF CLASSIFICATION,A2,2021-2024
0177-0667,ENGINEERING WITH COMPUTERS,A1,2021-2024
0178-2789,THE VISUAL COMPUTER,A2,2021-2024
0178-4617,ALGORITHMICA,A4,2021-2024
0178-7675,COMPUTATIONAL MECHANICS,A1,2021-2024
0179-051X,DYSPHAGIA (NEW YORK. PRINT),A1,2021-2024
0179-5376,DISCRETE & COMPUTATIONAL GEOMETRY,A3,2021-2024
0191-2615,TRANSPORTATION RESEARCH. PART B: METHODOLOGICAL,A1,2021-2024
0191-2917,PLANT DISEASE,A1,2021-2024
0192-8651,JOURNAL OF COMPUTATIONAL CHEMISTRY,A1,2021-2024
0194-911X,"HYPERTENSION (DALLAS, TEX. 1979)",A1,2021-2024
0195-0738,JOURNAL OF ENERGY RESOURCES TECHNOLOGY,A2,2021-2024
0195-668X,EUROPEAN HEART JOURNAL,A1,2021-2024
0195-6698,EUROPEAN JOURNAL OF COMBINATORICS (PRINT),A2,2021-2024
0196-0709,AMERICAN JOURNAL OF OTOLARYNGOLOGY (PRINT),A2,2021-2024
0196-2892,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,A1,2021-2024
0196-6553,AMERICAN JOURNAL OF INFECTION CONTROL,A1,2021-2024
0196-8904,ENERGY CONVERSION AND MANAGEMENT,A1,2021-2024
0198-9715,"COMPUTERS, ENVIRONMENT AND URBAN SYSTEMS",A1,2021-2024
0199-6231,JOURNAL OF SOLAR ENERGY ENGINEERING,A3,2021-2024
0218-0014,INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE,B1,2021-2024
0218-1266,"JOURNAL OF CIRCUITS, SYSTEMS, AND COMPUTERS",B1,2021-2024
0218-1940,INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING,B1,2021-2024
0218-2130,INTERNATIONAL JOURNAL ON ARTIFICIAL INTELLIGENCE TOOLS,B2,2021-2024
0218-348X,FRACTALS (SINGAPORE),A1,2021-2024
0218-4885,"INTERNATIONAL JOURNAL OF UNCERTAINTY, FUZZINESS AND KNOWLEDGE-BASED SYSTEMS",B1,2021-2024
0219-1377,KNOWLEDGE AND INFORMATION SYSTEMS (PRINT),A3,2021-2024
0219-3116,KNOWLEDGE AND INFORMATION SYSTEMS (ELECTRONIC RESOURCE),A3,2021-2024
0219-4678,INTERNATIONAL JOURNAL OF IMAGE AND GRAPHICS,B1,2021-2024
0219-4775,FLUCTUATION AND NOISE LETTERS,A2,2021-2024
0219-6492,JOURNAL OF INFORMATION & KNOWLEDGE MANAGEMENT,A3,2021-2024
0219-7200,JOURNAL OF BIOINFORMATICS AND COMPUTATIONAL BIOLOGY (PRINT),B2,2021-2024
0219-8770,INTERNATIONAL JOURNAL OF INNOVATION AND TECHNOLOGY MANAGEMENT,A2,2021-2024
0223-5234,EUROPEAN JOURNAL OF MEDICINAL CHEMISTRY,A1,2021-2024
0233-1888,STATISTICS (BERLIN),A4,2021-2024
0233-1934,OPTIMIZATION (PRINT),A2,2021-2024
0254-5330,ANNALS OF OPERATION RESEARCH,A2,2021-2024
0258-851X,IN VIVO (ATHENS),A4,2021-2024
0261-2194,CROP PROTECTION,A1,2021-2024
0262-8856,IMAGE AND VISION COMPUTING,A2,2021-2024
0263-2241,MEASUREMENT (LONDON. PRINT),A1,2021-2024
0263-5577,INDUSTRIAL MANAGEMENT + DATA SYSTEMS,A1,2021-2024
0263-5747,ROBOTICA (CAMBRIDGE. PRINT),A2,2021-2024
